group,Ble,Fonio,Mais,Mils,Riz,Sorgho
 Benin,0,1331,1376683,25182,281428,129665
Burkina Faso,0,10936,1602525,905071,384690,1663844
Cabo Verde,0,0,5642,0,0,0
Cote d'Ivoire,0,19800,967000,58300,2055000,59100
Gambie,0,0,39105,104321,55737,29664
Ghana,0,0,1721910,159017,687679,229604
Guinee,0,496953,748639,205353,2136242,28800
Guinee-Bissau,0,749,7260,14000,186000,17000
Liberia,0,0,0,0,335180,0
Mali,40137,16740,2811385,1806559,2780905,1393826
Niger,8234,6113,38022,3886079,104392,1808263
Nigeria,60000,82993,11547980,1552576,7564050,7556076
Senegal,0,2396,309105,607851,633841,154418
Sierra Leone,0,0,12554,42425,875304,29649
Togo,0,0,826896,23838,137106,272776
