group,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,0,1543,1286060,21640,204310,129674
Burkina Faso,0,13091,1469612,946184,325138,1435640
Cabo Verde,0,0,0,8677,0,0
Cote d'Ivoire,0,19300,1026000,55200,2153000,55100
Gambie,0,0,35556,91480,51949,25837
Ghana,0,0,1691644,157369,641492,262652
Guinee,0,496953,727488,206735,2047365,38315
Guinee-Bissau,0,637,7280,14000,170000,16000
Liberia,0,0,0,0,286000,0
Mali,35756,20294,2276036,1864301,2331053,1527456
Niger,8090,5807,35387,3404813,90831,1918330
Nigeria,60000,83372,10562050,1485387,6256228,7005025
Senegal,0,3228,304296,749874,906348,188500
Sierra Leone,0,0,22619,40648,871693,29839
Togo,0,0,794661,38664,140952,270863
