name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,01,0,747,1165957,24690,219626,133213
Burkina Faso,02,0,14501,1076753,828741,240866,1505543
Cape Verde,04,0,0,5569,0,0,0
Cote d'Ivoire,03,0,17320,621790,48828,873016,46460
Gambia,06,0,0,23613,87234,51136,20556
Ghana,05,0,0,1683984,183922,463975,287069
Guinea,07,0,408999,611294,160507,1792801,30573
Guinea-Bissau,08,0,525,8000,13971,175213,19000
Liberia,15,0,0,0,0,290117,0
Mali,09,33842,51021,1298234,1462139,1741472,1191020
Niger,10,1291,4960,6983,2760917,74133,770322
Nigeria,11,165000,81941,8878456,1271370,4612614,5690145
Senegal,12,0,1735,124092,480759,405824,86865
Sierra Leone,13,0,0,52416,40000,1129338,27738
Togo,14,0,0,650831,50362,112233,243267
