name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,01,0,1855,978063,36283,109371,142016
Burkina Faso,02,0,19547,1013634,1255189,195102,1875046
Cape Verde,04,0,16700,630188,40795,679969,40795
Cote d'Ivoire,03,0,16700,630188,40795,679969,40795
Gambia,06,0,0,44894,125624,38300,25624
Ghana,05,0,0,1470080,193840,301920,330950
Guinea,07,0,323900,522695,320000,1534088,39590
Guinea-Bissau,08,0,295,16690,31388,148757,18293
Liberia,15,0,0,0,0,295150,0
Mali,09,13166,41276,695073,1413908,1624246,1027202
Niger,10,8775,5329,6409,3489391,61025,1311144
Nigeria,11,53000,70000,7525000,9064000,4179000,9318000
Senegal,12,0,4425,397326,678171,408219,251515
Sierra Leone,13,0,0,23533,25000,680097,21672
Togo,14,0,0,590106,47401,85540,211257
